year,metarea,age,wage,edcode
1978,160,30,7.8987727,1
1977,160,43,10.641068,1
1977,160,39,7.8446302,3
1976,160,32,10.137083,1
1977,160,55,9.3176765,4
1978,160,59,13.913993,4
1977,160,55,5.316916,1
1978,160,33,7.8987727,3
1977,160,58,13.074384,1
1977,160,39,9.5878811,4
1978,160,32,12.251158,2
1978,160,42,9.4785271,3
1977,160,52,18.500532,4
1976,160,30,9.7471943,3
1978,160,29,7.8987727,4
1979,160,56,6.6195712,3
1981,160,50,23.795376,4
1979,160,36,10.09483,4
1979,160,51,13.177301,2
1984,160,37,14.870069,4
1984,160,29,8.5403757,2
1979,160,42,12.062101,4
1979,160,33,12.182323,4
1980,160,33,5.208333,3
1980,160,26,5.7142854,2
1977,160,36,8.8252096,1
1979,160,45,27.283321,4
1979,160,43,11.640886,3
1983,160,32,9.5458765,3
1979,160,50,19.389347,4
1979,160,55,13.641661,3
1979,160,52,9.8219957,2
1978,160,25,8.8618164,2
1979,160,55,10.913328,2
1977,160,39,10.665944,2
1979,160,41,21.932348,3
1979,160,57,12.004662,3
1979,160,54,8.1217318,2
1979,160,34,10.601521,4
1976,160,28,11.937527,2
1980,160,36,6.3814106,2
1980,160,27,8.1031256,2
1980,160,31,14.423077,4
1976,160,54,6.9622822,1
1983,160,33,7.3515177,2
1979,160,32,5.456665,3
1976,160,38,6.4442878,2
1979,160,38,11.349863,1
1983,160,56,7.1594071,2
1981,160,37,10.89532,1
1984,160,32,8.6742067,3
1981,160,34,10.459507,4
1981,160,28,3.0991132,4
1978,160,26,5.8936996,1
1979,160,26,7.9121642,2
1980,160,29,4.3956041,4
1979,160,39,9.8219957,3
1982,160,33,6.8449163,2
1979,160,27,4.2998519,1
1983,160,34,10.99222,4
1980,160,55,12.01923,2
1980,160,41,10,3
1980,160,34,4.375,3
1980,160,25,27.137497,1
1980,160,34,8.6447124,3
1979,160,33,11.034469,4
1980,160,31,9.5,4
1980,160,31,7.2115383,3
1982,160,38,4.5373497,3
1980,160,34,4.6153846,2
1981,160,29,10.072119,2
1980,160,25,12.01923,2
1980,160,54,8.4384623,2
1981,160,40,8.6417322,2
1984,160,36,9.9133787,2
1981,160,35,10.483477,4
1981,160,32,8.7162552,3
1981,160,54,5.2297535,1
1981,160,30,4.5947742,2
1981,160,40,3.6074626,2
1980,160,50,16.532894,4
1980,160,29,10.249374,2
1981,160,31,7.2632565,2
1981,160,32,6.2321229,3
1981,160,46,15.276384,4
1980,160,39,11.534189,1
1981,160,49,3.4865026,3
1983,160,26,11.030791,4
1981,160,37,6.9929276,2
1982,160,26,2.7789187,3
1981,160,25,4.4152198,2
1984,160,44,16.945944,4
1982,160,30,14.231435,2
1984,160,38,3.0502703,4
1978,160,31,8.6076374,2
1982,160,38,5.9115191,3
1984,160,43,17.623783,2
1984,160,46,5.7192564,1
1976,160,25,10.008182,3
1983,160,47,16.705284,4
1981,160,36,8.0818043,2
1982,160,35,9.0076771,2
1979,160,33,10.498624,2
1979,160,33,10.719315,2
1982,160,41,10.272247,2
1984,160,40,5.5932326,4
1984,160,26,4.4228921,4
1984,160,38,12.902262,2
1984,160,25,3.8738432,4
1984,160,57,9.1508102,1
1984,160,25,4.1941214,2
1984,160,29,7.3206487,4
1984,160,28,6.1005406,4
1984,160,57,12.201079,2
1976,160,25,4.4384079,2
1979,160,36,3.1674035,2
1981,160,29,5.6829991,2
1979,160,25,8.1849966,1
1980,160,38,9.1346159,2
1984,160,25,4.9910555,2
1979,160,39,9.6582966,2
1982,160,34,8.5388603,3
1982,160,50,33.588173,4
1982,160,26,5.3367872,2
1982,160,57,4.4213233,2
1982,160,41,6.8420353,2
1982,160,46,18.884016,4
1982,160,32,16.420883,4
1984,160,35,6.6343379,4
1984,160,52,4.4580874,2
1977,160,26,6.3737621,4
1976,160,39,14.233996,3
1983,160,32,11.012759,4
1983,160,39,4.8001523,3
1983,160,31,7.4328046,1
1983,160,50,6.6511312,2
1983,160,33,11.136856,4
1983,160,56,11.932345,2
1983,160,55,7.18009,2
1983,160,56,11.830523,1
1982,160,31,10.057793,4
1977,160,30,7.1909113,2
1983,160,35,5.5222888,3
1982,160,55,17.791206,4
1977,160,35,13.283851,2
1982,160,43,14.270532,2
1981,160,33,6.5371919,4
1983,160,44,15.945148,2
1978,160,37,9.1139698,2
1983,160,51,5.1706829,1
1980,160,59,9.7302885,2
1983,160,43,12.0282,2
1977,160,46,16.9967,4
1980,160,59,5.313765,1
1977,160,34,10.848957,3
1979,160,30,11.403854,4
1981,160,39,8.5850763,3
1980,160,53,13.137728,2
1976,160,51,11.835877,2
1981,160,38,11.766946,3
1977,160,49,10.769371,3
1984,160,36,6.4818244,1
1984,160,25,2.4783444,4
1980,160,29,5.6000004,2
1978,160,47,7.4237423,4
1977,160,37,16.277607,2
1979,160,32,2.2481461,3
1978,160,41,18.903048,4
1982,160,50,5.6063223,3
1980,160,36,5.7692308,1
1980,160,25,6.8681321,2
1980,160,30,7.692307,2
1980,160,26,5.7142854,1
1979,160,58,10.07082,2
1978,160,54,10.936764,4
1980,160,56,9.6153841,2
1981,160,33,14.527093,4
1979,160,32,8.1849966,2
1977,160,25,6.2175965,2
1978,160,25,7.5470052,4
1984,160,46,15.25135,4
1977,160,59,8.6290932,2
1976,160,40,10.443422,2
1979,160,37,9.2763309,2
1981,160,31,4.6486702,4
1977,160,36,10.865358,2
1984,160,33,4.2703786,1
1980,160,29,10.76923,4
1980,160,35,8.2793522,2
1979,160,29,6.107307,2
1983,160,35,2.6516323,4
1980,160,32,7.2596154,4
1977,160,53,15.68926,3
1978,160,44,17.417809,4
1977,160,56,19.121288,4
1977,160,56,9.4926567,2
1978,160,35,10.632965,1
1976,160,35,10.978745,3
1976,160,49,5.7786937,1
1984,160,59,6.7569838,1
1984,160,34,11.862162,2
1982,160,34,7.7256346,3
1980,160,56,19.227404,4
1979,160,40,9.3136787,1
1983,160,27,7.0321283,2
1981,160,55,18.885223,4
1978,160,51,7.674922,3
1976,160,31,7.3307657,3
1984,160,50,7.6256752,2
1978,160,28,9.4954844,2
1984,160,32,5.7192564,3
1982,160,31,12.379705,3
1981,160,54,15.810884,4
1978,160,56,8.5063715,3
1979,160,41,6.9343791,1
1978,160,52,6.0759797,1
1981,160,39,10.072119,2
1979,160,53,18.188881,4
1980,160,57,6.1538463,3
1976,160,38,14.620791,4
1979,160,29,5.2929645,2
1982,160,36,7.2959819,3
1983,160,40,6.6821136,3
1979,160,28,4.5399451,2
1984,160,35,8.006959,2
1977,160,28,8.4983501,3
1977,160,40,39.223152,4
1977,160,55,9.1520691,2
1984,160,58,7.3095913,2
1977,160,37,9.1520691,1
1984,160,27,3.8128378,4
1982,160,58,4.7210045,1
1977,160,36,7.8446302,3
1976,160,30,7.1015272,4
1976,160,50,11.215539,3
1978,160,26,6.6349697,2
1977,160,45,8.4983501,1
1980,160,37,10.384615,4
1982,160,57,7.9367614,3
1980,160,49,22.435898,2
1977,160,57,10.350553,1
1977,160,56,6.8640518,1
1981,160,30,4.5324535,4
1978,160,40,9.8825798,1
1976,160,33,13.917603,4
1981,160,49,28.016537,4
1978,160,28,9.1139698,2
1980,160,51,15.384614,4
1982,160,30,8.7578049,4
1979,160,28,8.7306643,2
1981,160,57,6.9730053,3
1978,160,48,18.957054,4
1976,160,41,5.7554865,2
1979,160,32,3.1102991,4
1984,160,35,6.1005406,2
